Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Hawaiian 12" Medium Thin 'N Crispy®,240,8,13,29,490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 14" Large Thin 'N Crispy®,230,8,13,27,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 12" Medium Stuffed Crust,280,12,19,27,540,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 14" Large Stuffed Crust,250,10,17,23,480,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 12" Medium Classic,210,7,11,26,370,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 14"" Large Classic,210,8,12,23,370,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 12" Multigrain,260,8,14,31,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 6" Personal Multigrain pizza,480,15,24,62,710,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 6" Personal Pan Pizza®,590,24,24,72,690,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 9" Small Pan,190,8,8,22,230,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 12" Medium Pan,260,11,11,30,320,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 14" Large Pan,240,10,11,27,300,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 12" Medium Thin 'N Crispy®,220,8,11,27,450,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 14" Large Thin 'N Crispy®,210,8,10,25,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 12" Medium Stuffed Crust,260,11,16,25,480,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 14" Large Stuffed Crust,230,10,4,21,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 12" Medium Classic,220,8,11,25,350,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 14" Large Classic,190,8,10,21,310,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Triple Crown 12" Multigrain,270,8,13,36,400,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 6",650,28,27,73,290,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 9" Small Pan,210,10,9,22,270,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 12" Medium Pan,290,13,13,30,380,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 14" Large Pan,270,13,12,28,360,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 12" Medium Thin 'N Crispy®,250,11,12,27,490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 14" Large Thin 'N Crispy®,240,10,12,26,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 12" Medium Stuffed Crust,290,14,18,25,540,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 14" Large Stuffed Crust,270,13,16,22,490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 12" Medium Classic,250,11,12,25,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 14" Large Classic,230,10,11,22,380,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Italian Classic 12" Multigrain,270,10,13,30,420,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 6" Personal Pan Pizza®,610,25,24,73,860,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 9" Small Pan,220,10,10,22,320,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 12" Medium Pan,290,13,14,30,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 14" Large Pan,280,13,13,28,420,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 12" Medium Thin 'N Crispy®,260,10,14,27,590,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 14" Large Thin 'N Crispy®,250,10,13,26,520,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 12" Medium Stuffed Crust,300,14,19,25,600,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 14" Large Stuffed Crust,270,13,17,22,540,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 12" Medium Classic,250,11,13,25,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 14" Large Classic,230,10,13,22,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Super Supreme 12" Multigrain,270,10,14,30,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Traditional Wings (/5pieces),81,13,20,1,630,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Breaded Wings (/5pieces),139,30,22,26,980,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Boneless Bites (/5pieces),104,18,17,23,980,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meaty Marinara Pasta,550,24,28,58,115,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Premium Bacon Mac 'N Cheese Pasta,600,31,26,55,1490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Creamy Chicken Alfredo Pasta,550,26,22,54,1290,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Mediterranean Con Pollo Pasta,430,10,28,68,706,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Peperoni P'Zone Regular Pasta,700,24,28,92,650,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Meat Lover's P'Zone Regular Pasta,730,26,32,93,780,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian Regular Pasta,730,26,32,93,820,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Caesar Salad,540,40,18,25,1490,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Garlic bread with Cheese,220,13,10,14,400,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Garlic Bread,170,10,4,17,360,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Breadsticks with Cheese,230,12,7,22,200,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Breadsticks,190,10,4,22,150,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
